Country Name,Country Code,2015 [YR2015] - GDP (current US$) [NY.GDP.MKTP.CD],"2015 [YR2015] - International tourism, receipts (current US$) [ST.INT.RCPT.CD]","2015 [YR2015] - International tourism, expenditures (current US$) [ST.INT.XPND.CD]",2016 [YR2016] - GDP (current US$) [NY.GDP.MKTP.CD],"2016 [YR2016] - International tourism, receipts (current US$) [ST.INT.RCPT.CD]","2016 [YR2016] - International tourism, expenditures (current US$) [ST.INT.XPND.CD]",2017 [YR2017] - GDP (current US$) [NY.GDP.MKTP.CD],"2017 [YR2017] - International tourism, receipts (current US$) [ST.INT.RCPT.CD]","2017 [YR2017] - International tourism, expenditures (current US$) [ST.INT.XPND.CD]",2018 [YR2018] - GDP (current US$) [NY.GDP.MKTP.CD],"2018 [YR2018] - International tourism, receipts (current US$) [ST.INT.RCPT.CD]","2018 [YR2018] - International tourism, expenditures (current US$) [ST.INT.XPND.CD]",2019 [YR2019] - GDP (current US$) [NY.GDP.MKTP.CD],"2019 [YR2019] - International tourism, receipts (current US$) [ST.INT.RCPT.CD]","2019 [YR2019] - International tourism, expenditures (current US$) [ST.INT.XPND.CD]",2020 [YR2020] - GDP (current US$) [NY.GDP.MKTP.CD],"2020 [YR2020] - International tourism, receipts (current US$) [ST.INT.RCPT.CD]","2020 [YR2020] - International tourism, expenditures (current US$) [ST.INT.XPND.CD]"
Afghanistan,AFG,19998143635.873,86000000,151000000,18019554403.4503,62000000,89000000,18896353155.8839,16000000,130000000,18418860354.4238,50000000,226000000,18904502222.2108,85000000,168000000,20143451705.7548,75000000,49000000
Albania,ALB,11386853143.152,1613000000,1311000000,11861199830.8396,1821000000,1338000000,13019726211.7369,2050000000,1473000000,15156424061.9815,2306000000,1750000000,15401826080.5183,2458000000,1852000000,15162734205.2462,1243000000,805000000
Algeria,DZA,165979224316.667,347000000,762000000,160034212613.438,246000000,556000000,170096989042.831,171000000,632000000,174910891124.491,196500000,542000000,171760290068.157,140000000,670000000,145743722826.258,50000000,272000000
American Samoa,ASM,673000000,..,..,671000000,22000000,..,612000000,22000000,..,639000000,..,..,647000000,..,..,716000000,..,..
Andorra,AND,2789881258.60547,..,..,2896610479.86779,..,..,3000162081.22356,..,..,3218419896.93327,..,..,3155149347.92151,1910000000,187000000,2891001149.40074,..,..
Angola,AGO,87219300384.5072,1171000000,389000000,49840491178.1518,628000000,823000000,68972769395.6274,884000000,1216000000,77792944471.9494,557000000,762000000,69309110145.7687,395000000,717000000,50241368243.6314,19000000,691000000
Antigua and Barbuda,ATG,1336692592.59259,802000000,95000000,1436585185.18519,844000000,101000000,1467955555.55556,820000000,106000000,1604770370.37037,854000000,111000000,1675403703.7037,992000000,119000000,1416348148.14815,416000000,35000000
Argentina,ARG,594749285413.212,5441000000,9348000000,557532317363.451,5466000000,12273000000,643628396190.388,5830000000,14180000000,524819898586.906,5999000000,13084000000,447754686715.081,5654000000,9845000000,385540406815.599,1702000000,2746000000
Armenia,ARM,10553337527.7745,956000000,1057000000,10546136240.3952,1037000000,1033000000,11527458712.6187,1224000000,1218000000,12457940705.3088,1358000000,1335000000,13619290545.8131,1553000000,1543000000,12641698593.7908,303000000,330000000
Aruba,ABW,2963128491.62011,1659000000,357000000,2983798882.68156,1757000000,319000000,3092178770.94972,1855000000,349000000,3276187709.49721,2035000000,394000000,3395793854.7486,2109000000,399000000,2610038938.54749,1077000000,310000000
