,Year,Country Name,International Tourism Expenditures (US$),International Tourism Receipts (US$),# of arrivals,# of departures,GDP (US$),Total Population
216,2016,Zimbabwe,406000000,194000000,2168000,3192000,20548678100,14452704.0
433,2017,Zimbabwe,337000000,158000000,2423000,2768000,17584890936.6523,14751101.0
650,2018,Zimbabwe,269000000,191000000,2580000,2288000,34156069918.0609,15052184.0
867,2019,Zimbabwe,257000000,285000000,2294000,3275000,21832234925.5021,15354608.0
426,2017,Vanuatu,19000000,289000000,332700.012207031,26299.9992370605,880061830.96959,290239.0
1077,2020,Vanuatu,22000000,67000000,82400.0015258789,9399.99961853027,909421043.508407,311685.0
860,2019,Vanuatu,32000000,295000000,256000,36400.0015258789,936526267.622513,304404.0
209,2016,Vanuatu,28000000,275000000,351600.006103516,20299.9992370605,780889605.899977,283218.0
643,2018,Vanuatu,21000000,325000000,350200.012207031,28399.9996185303,914736985.430944,297298.0
208,2016,Uzbekistan,1832000000,579000000,2027000,3848000,86138288633.2241,31847900.0
425,2017,Uzbekistan,2107000000,835000000,2690000,5182000,62081322741.1228,32388600.0
859,2019,Uzbekistan,2753000000,1679000000,6749000,8437000,60283503705.3907,33580350.0
642,2018,Uzbekistan,2722000000,1314000000,5346000,8594000,52870108217.5626,32956100.0
858,2019,Uruguay,1424000000,2335000000,3480000,2199000,62048585618.505,3428409.0
424,2017,Uruguay,1222000000,2924000000,4219000,1789000,65006047680.3225,3422200.0
641,2018,Uruguay,1252000000,2708000000,3954000,1947000,65203071110.6037,3427042.0
207,2016,Uruguay,1079000000,2396000000,3632000,1715000,57480788380.312,3413766.0
857,2019,United States,186079000000,239447000000,165478000,170930093.75,21380976119000,328329953.0
1074,2020,United States,48837000000,84205000000,45037000,60549898.4375,21060473613000,331511512.0
423,2017,United States,158287000000,233758000000,174291750,148045000,19477336549000,325122128.0
640,2018,United States,176818000000,241984000000,169324921.875,158445406.25,20533057312000,326838199.0
206,2016,United States,147640000000,228549000000,175261484.375,141526000,18695110842000,323071755.0
855,2019,United Arab Emirates,18382000000,38413300781.25,25282000,18906000,417989721742.682,9211657.0
638,2018,United Arab Emirates,18004099609.375,34609500000,23092000,18967000,427049432157.931,9140169.0
1072,2020,United Arab Emirates,15085000000,24615400390.625,8084000,6458000,349473015330.157,9287289.0
204,2016,United Arab Emirates,17127259765.625,28657400390.625,20894000,18728000,369255326235.534,8994263.0
421,2017,United Arab Emirates,17644699218.75,29705500000,21805000,18866000,390516804029.952,9068296.0
637,2018,Ukraine,8287000000,2269000000,14342000,27977000,130891086689.522,44622518.0
1071,2020,Ukraine,4823000000,687000000,3382000,11251000,156617719786.254,44132049.0
420,2017,Ukraine,7536000000,2019000000,14579000,27067000,112090503817.399,44831135.0
203,2016,Ukraine,6306000000,1723000000,13734000,25226000,93355868977.6619,45004673.0
854,2019,Ukraine,8907000000,2595000000,13710000,29346000,153883045524.931,44386203.0
202,2016,Uganda,309000000,1118000000,1323000,568000,29203988697.459,38748299.0
1066,2020,Turkiye,1639000000,13771000000,15971000,2243000,720288811761.915,84135428.0
849,2019,Turkiye,5354000000,41415000000,51747000,9651000,759934804372.319,83481684.0
198,2016,Turkiye,5698000000,26505000000,30907000,7892000,869682954136.208,81019394.0
415,2017,Turkiye,5865000000,31993000000,37970000,8887000,858988578709.755,82089826.0
632,2018,Turkiye,6068000000,36791000000,46113000,8383000,778476714087.962,82809304.0
631,2018,Tunisia,954000000,2320000000,8299000,2515000,42686509835.5287,11933041.0
