,Year,Country Name,International Tourism Expenditures (US$),International Tourism Receipts (US$),# of arrivals,GDP (US$),Total Population
652,2019,Albania,1852000000,2458000000,6406000,15401826080,2854191
218,2017,Albania,1473000000,2050000000,5118000,13019726211,2873457
869,2020,Albania,805000000,1243000000,2658000,15162734205,2837849
435,2018,Albania,1750000000,2306000000,5927000,15156424061,2866376
1,2016,Albania,1338000000,1821000000,4736000,11861199830,2876101
219,2017,Algeria,632000000,171000000,2451000,170096989042,41136546
2,2016,Algeria,556000000,246000000,2039000,160034212613,40339329
653,2019,Algeria,670000000,140000000,2371000,171760290068,42705368
436,2018,Algeria,542000000,196500000,2657000,174910891124,41927007
870,2020,Algeria,272000000,50000000,591000,145743722826,43451666
655,2019,Andorra,187000000,1910000000,8235000,3155149347,76343
222,2017,Angola,1216000000,884000000,261000,68972769395,30208628
439,2018,Angola,762000000,557000000,218000,77792944471,31273533
5,2016,Angola,823000000,628000000,397000,49840491178,29154746
656,2019,Angola,717000000,395000000,218000,69309110145,32353588
657,2019,Antigua and Barbuda,119000000,992000000,1035000,1675403703,92117
440,2018,Antigua and Barbuda,111000000,854000000,1064000,1604770370,91626
874,2020,Antigua and Barbuda,35000000,416000000,384500,1416348148,92664
6,2016,Antigua and Barbuda,101000000,844000000,874000,1436585185,90564
223,2017,Antigua and Barbuda,106000000,820000000,1040000,1467955555,91119
658,2019,Argentina,9845000000,5654000000,7399000,447754686715,44938712
441,2018,Argentina,13084000000,5999000000,6942000,524819898586,44494502
7,2016,Argentina,12273000000,5466000000,6668000,557532317363,43590368
224,2017,Argentina,14180000000,5830000000,6711000,643628396190,44044811
8,2016,Armenia,1033000000,1037000000,1260000,10546136240,2865835
659,2019,Armenia,1543000000,1553000000,1894000,13619290545,2820602
225,2017,Armenia,1218000000,1224000000,1495000,11527458712,2851923
876,2020,Armenia,330000000,303000000,375000,12641698593,2805608
442,2018,Armenia,1335000000,1358000000,1652000,12457940705,2836557
443,2018,Aruba,394000000,2035000000,1897000,3276187709,105962
9,2016,Aruba,319000000,1757000000,1758000,2983798882,104874
660,2019,Aruba,399000000,2109000000,1951000,3395793854,106442
226,2017,Aruba,349000000,1855000000,1863000,3092178770,105439
661,2019,Australia,41345000000,47953000000,9466000,1392218527563,25340217
227,2017,Australia,39710000000,43975000000,8815000,1326467487376,24594202
10,2016,Australia,35718000000,39059000000,8269000,1206562910556,24190907
878,2020,Australia,7654000000,26234000000,1828000,1326944627876,25655289
444,2018,Australia,42439000000,47327000000,9246000,1428266513154,24966643
662,2019,Austria,13922000000,25924000000,31884000,444621176100,8879920
445,2018,Austria,14109000000,25413000000,30816000,454991174096,8840521
228,2017,Austria,12878000000,22424000000,29460000,417261151844,8797566
879,2020,Austria,5551000000,15362000000,15091000,435225238000,8916864
11,2016,Austria,11634000000,20965000000,28121000,395837353031,8736668
663,2019,Azerbaijan,1839000000,2004099975,3170000,48174235294,10024283
446,2018,Azerbaijan,2453000000,2830000000,2850000,47112479289,9939771
880,2020,Azerbaijan,439000000,340000000,796000,42693000000,10093121
229,2017,Azerbaijan,2803000000,3214000000,2697000,40866632047,9854033
12,2016,Azerbaijan,2593000000,2855000000,2249000,37867007022,9757812
230,2017,"Bahamas, The",554000000,2951000000,6136000,12253500000,399020
447,2018,"Bahamas, The",519000000,3756000000,6622000,12653600000,401906
664,2019,"Bahamas, The",514000000,4150000000,7250000,13058700000,404557
13,2016,"Bahamas, The",440000000,3091000000,6265000,11750800000,395976
881,2020,"Bahamas, The",166000000,1007000000,1794500,9754600000,406471
448,2018,Bahrain,2522000000,3834000000,12045000,37802005319,1487340
231,2017,Bahrain,3178000000,4380000000,11374000,35473776595,1456834
665,2019,Bahrain,2637000000,3860000000,11061000,38653318085,1494188
14,2016,Bahrain,3267000000,4021000000,10158000,32234973404,1409661
449,2018,Bangladesh,1207000000,357000000,267000,321379163135,163683958
232,2017,Bangladesh,1127000000,348000000,237000,293754769935,161793964
666,2019,Bangladesh,1389000000,391000000,323000,351238397263,165516222
15,2016,Bangladesh,843000000,214300003,182000,265236389198,159784568
16,2016,Barbados,99000000,1071000000,1227000,4832811750,278649
234,2017,Belarus,1082000000,1124500000,11060000,54725311690,9458989
668,2019,Belarus,1224500000,1290000000,11832000,64410112583,9419758
885,2020,Belarus,477000000,542000000,3598000,61371755326,9379952
451,2018,Belarus,1170000000,1221000000,11502000,60031163987,9438785
17,2016,Belarus,891000000,1019000000,10935000,47723549319,9469379
18,2016,Belgium,16522000000,8784000000,7481000,476062757356,11331422
669,2019,Belgium,20998000000,10581000000,9343000,535865692402,11488980
235,2017,Belgium,17835000000,9636000000,8385000,502764720556,11375158
886,2020,Belgium,13928000000,7447000000,2584000,525213067068,11538604
452,2018,Belgium,20789000000,10319000000,9119000,543299066998,11427054
237,2017,Benin,148000000,160000000,307000,12701655845,11596779
671,2019,Benin,130000000,240860000,337000,14391686309,12290444
454,2018,Benin,76000000,175000000,322000,14262408079,11940683
20,2016,Benin,87000000,129000000,292000,11821065852,11260085
238,2017,Bermuda,369000000,513000000,688000,7142316000,63873
889,2020,Bermuda,212000000,94000000,51400,6887147000,63893
672,2019,Bermuda,342000000,601000000,805000,7423465000,63911
455,2018,Bermuda,334000000,583000000,766000,7225977000,63918
21,2016,Bermuda,373000000,440000000,642000,6899911000,64554
456,2018,Bhutan,79000000,121000000,274000,2446867582,762096
22,2016,Bhutan,52000000,139000000,210000,2158971717,749761
673,2019,Bhutan,67000000,120000000,316000,2535655609,767459
239,2017,Bhutan,63000000,153000000,255000,2450366107,756121
890,2020,Bhutan,50000000,84000000,29799,2325185520,772506
457,2018,Bolivia,1009000000,948000000,1142000,40287647930,11606905
23,2016,Bolivia,960000000,827000000,961000,33941126193,11263015
674,2019,Bolivia,1111000000,977000000,1239000,40895322850,11777315
240,2017,Bolivia,997000000,928000000,1109000,37508642170,11435533
891,2020,Bolivia,325000000,243000000,323299,36629843806,11936162
675,2019,Bosnia and Herzegovina,393000000,1225000000,1198000,20482603346,3360711
458,2018,Bosnia and Herzegovina,378000000,1147000000,1053000,20484048415,3400129
24,2016,Bosnia and Herzegovina,290000000,875000000,778000,17116926092,3480986
241,2017,Bosnia and Herzegovina,346000000,984000000,923000,18326376394,3440027
892,2020,Bosnia and Herzegovina,163000000,438000000,197000,20226030731,3318407
459,2018,Botswana,278299987,584200012,1830000,17031943186,2451409
25,2016,Botswana,237100006,505000000,1712000,15082636722,2352416
242,2017,Botswana,253300003,542010009,1775000,16105156375,2401840
243,2017,Brazil,22991000000,6175000000,6589000,2063514688761,208504960
677,2019,Brazil,21178000000,6127000000,6353000,1873288159000,211782878
26,2016,Brazil,17068000000,6613000000,6547000,1795693265824,206859578
460,2018,Brazil,22229000000,6324000000,6621000,1916933708404,210166592
