,Country Name,Time,International Tourism Expenditures USD,International Tourism Arrivals,International Tourism Receipts USD,GDP in USD
1083,Zimbabwe,2019.0,257000000,2294000,285000000,21832234925.5021
1084,Zimbabwe,2020.0,157000000,639000,66000000,21509698406.1116
1081,Zimbabwe,2017.0,337000000,2423000,158000000,17584890936.6523
1082,Zimbabwe,2018.0,269000000,2580000,191000000,34156069918.0609
1080,Zimbabwe,2016.0,406000000,2168000,194000000,20548678100
1070,"Yemen, Rep.",2016.0,56000000,..,116000000,31317824906.4358
1325,World,2016.0,1193724367473.88,2140443306.01389,1541142563377.13,76486454870400.4
1326,World,2017.0,1314055927207.01,2248870723.88107,1681211087096.03,81442048665487.8
1328,World,2019.0,1439120572186.1,2403074088.46029,1863068555520.54,87728102156402.9
1327,World,2018.0,1412736992372.23,2339399881.49679,1829956003842.39,86502223934428.3
1065,West Bank and Gaza,2016.0,620000000,400000,235000000,15405400000
1067,West Bank and Gaza,2018.0,826000000,606000,245000000,16276600000
1066,West Bank and Gaza,2017.0,813000000,503000,225000000,16128000000
1063,Virgin Islands (U.S.),2019.0,..,2074000,1031000000,4117000000
1062,Virgin Islands (U.S.),2018.0,..,1922000,993000000,3922000000
1061,Virgin Islands (U.S.),2017.0,..,1954000,1202000000,3794000000
1060,Virgin Islands (U.S.),2016.0,..,2574000,1343000000,3798000000
1064,Virgin Islands (U.S.),2020.0,..,8612000,686000000,4204000000
1059,Vietnam,2020.0,4360000000,3837000,3232000000,346615750166.553
1058,Vietnam,2019.0,6460000000,18009000,11830000000,334365257920.289
1057,Vietnam,2018.0,5910000000,15498000,10080000000,310106472642.968
1056,Vietnam,2017.0,5040000000,12922000,8890000000,281353626107.245
1055,Vietnam,2016.0,4500000000,10013000,8500000000,257096001174.075
1050,"Venezuela, RB",2016.0,2920000000,681000,546000000,..
1045,Vanuatu,2016.0,28000000,351600.006103516,275000000,780889605.899977
1046,Vanuatu,2017.0,19000000,332700.012207031,289000000,880061830.96959
1047,Vanuatu,2018.0,21000000,350200.012207031,325000000,914736985.430944
1048,Vanuatu,2019.0,32000000,256000,295000000,936526267.622513
1049,Vanuatu,2020.0,22000000,82400.0015258789,67000000,909421043.508407
1040,Uzbekistan,2016.0,1832000000,2027000,579000000,86138288633.2241
1044,Uzbekistan,2020.0,1062000000,..,395000000,60224701295.7983
1043,Uzbekistan,2019.0,2753000000,6749000,1679000000,60283503705.3907
1042,Uzbekistan,2018.0,2722000000,5346000,1314000000,52870108217.5626
1041,Uzbekistan,2017.0,2107000000,2690000,835000000,62081322741.1228
1039,Uruguay,2020.0,412000000,..,1085000000,53666908479.5585
1038,Uruguay,2019.0,1424000000,3480000,2335000000,62048585618.505
1037,Uruguay,2018.0,1252000000,3954000,2708000000,65203071110.6037
1036,Uruguay,2017.0,1222000000,4219000,2924000000,65006047680.3225
1035,Uruguay,2016.0,1079000000,3632000,2396000000,57480788380.312
1034,United States,2020.0,48837000000,45037000,84205000000,21060473613000
1031,United States,2017.0,158287000000,174291750,233758000000,19477336549000
1033,United States,2019.0,186079000000,165478000,239447000000,21380976119000
1032,United States,2018.0,176818000000,169324921.875,241984000000,20533057312000
1030,United States,2016.0,147640000000,175261484.375,228549000000,18695110842000
1024,United Arab Emirates,2020.0,15085000000,8084000,24615400390.625,349473015330.157
1023,United Arab Emirates,2019.0,18382000000,25282000,38413300781.25,417989721742.682
1022,United Arab Emirates,2018.0,18004099609.375,23092000,34609500000,427049432157.931
1021,United Arab Emirates,2017.0,17644699218.75,21805000,29705500000,390516804029.952
1020,United Arab Emirates,2016.0,17127259765.625,20894000,28657400390.625,369255326235.534
1016,Ukraine,2017.0,7536000000,14579000,2019000000,112090503817.399
1015,Ukraine,2016.0,6306000000,13734000,1723000000,93355868977.6619
1017,Ukraine,2018.0,8287000000,14342000,2269000000,130891086689.522
1018,Ukraine,2019.0,8907000000,13710000,2595000000,153883045524.931
1019,Ukraine,2020.0,4823000000,3382000,687000000,156617719786.254
1014,Uganda,2020.0,268000000,473000,518000000,37605430214.347
1013,Uganda,2019.0,596000000,1543000,1400000000,35348155092.292
1012,Uganda,2018.0,497000000,1506000,1522000000,32927025621.3848
1011,Uganda,2017.0,365000000,1402000,954000000,30744473839.7439
1010,Uganda,2016.0,309000000,1323000,1118000000,29203988697.459
991,Turkiye,2017.0,5865000000,37970000,31993000000,858988578709.755
990,Turkiye,2016.0,5698000000,30907000,26505000000,869682954136.208
994,Turkiye,2020.0,1639000000,15971000,13771000000,720288811761.915
992,Turkiye,2018.0,6068000000,46113000,36791000000,778476714087.962
993,Turkiye,2019.0,5354000000,51747000,41415000000,759934804372.319
989,Tunisia,2020.0,407000000,2012000,1007000000,42538462678.1201
988,Tunisia,2019.0,889000000,9429000,2683000000,41905637658.6053
987,Tunisia,2018.0,954000000,8299000,2320000000,42686509835.5287
986,Tunisia,2017.0,871000000,7052000,1782000000,42163530590.9462
985,Tunisia,2016.0,823000000,5724000,1706000000,44360065796.6202
980,Trinidad and Tobago,2016.0,230000000,492000,708000000,23496215880.5212
981,Trinidad and Tobago,2017.0,147000000,465000,717000000,23797686961.8447
983,Trinidad and Tobago,2019.0,133000000,480000,481000000,23849557811.3959
982,Trinidad and Tobago,2018.0,149000000,501000,541000000,24322359037.409
984,Trinidad and Tobago,2020.0,42000000,141000,151000000,21059428846.0153
979,Tonga,2020.0,38000000,..,47700000.7629395,484796858.839009
978,Tonga,2019.0,44000000,94000,57099998.4741211,512053639.842631
976,Tonga,2017.0,37700000.7629395,86599.9984741211,48500000,460374252.206137
975,Tonga,2016.0,23799999.2370605,86699.9969482422,52700000.7629395,420548768.072805
977,Tonga,2018.0,41200000.7629395,77300.0030517578,48099998.4741211,488906860.874058
970,Togo,2016.0,55000000,338000,223000000,6031632014.86013
971,Togo,2017.0,57000000,514000,245000000,6395472028.24361
972,Togo,2018.0,65000000,573000,269000000,7029217931.75029
973,Togo,2019.0,61000000,876000,264000000,6992656428.93581
966,Timor-Leste,2017.0,137000000,73900.0015258789,73000000,1595724300
967,Timor-Leste,2018.0,131000000,74599.9984741211,78000000,1563887900
965,Timor-Leste,2016.0,118000000,65599.9984741211,58000000,1650619400
964,Thailand,2020.0,3681000000,..,15360000000,500457261548.076
960,Thailand,2016.0,11267000000,32530000,48459000000,413366345843.744
963,Thailand,2019.0,14969000000,39916000,64371000000,543976695638.812
961,Thailand,2017.0,12676000000,35592000,57057000000,456356812774.563
962,Thailand,2018.0,14406000000,38178000,61383000000,506754212432.991
958,Tanzania,2019.0,738200012.207031,1527000,2624500000,61026765850.3054
957,Tanzania,2018.0,818000000,1506000,2465000000,57003686049.4102
956,Tanzania,2017.0,873000000,1327000,2265000000,53275968094.8533
955,Tanzania,2016.0,992000000,1284000,2149000000,49774004999.2038
950,Tajikistan,2016.0,24600000.3814697,344000,149600006.103516,6992416096.89018
951,Tajikistan,2017.0,15100000.3814697,431000,171600006.103516,7536403146.68377
952,Tajikistan,2018.0,24200000.7629395,1035000,170899993.896484,7765000282.29397
953,Tajikistan,2019.0,28399999.6185303,..,179100006.103516,8300813889.63698
954,Tajikistan,2020.0,10800000.1907349,..,102400001.525879,8133963813.3329
941,Switzerland,2017.0,21501000000,11133000,20399000000,695200833086.499
940,Switzerland,2016.0,19941000000,10402000,19787000000,687895460902.713
943,Switzerland,2019.0,21097000000,11818000,21257000000,721369112726.724
942,Switzerland,2018.0,21441000000,11715000,21294000000,725562534363.895
944,Switzerland,2020.0,10372000000,..,9994000000,739913619797.445
934,Suriname,2020.0,64000000,..,19000000,2911807496.20227
933,Suriname,2019.0,94000000,..,64000000,4016040575.08796
932,Suriname,2018.0,104000000,..,73000000,3996198760.32389
931,Suriname,2017.0,99000000,279000,61000000,3591679371.03991
930,Suriname,2016.0,112000000,257000,74000000,3317421499.77314
926,Sudan,2017.0,29000000,813000,1029000000,129718581297.431
925,Sudan,2016.0,203000000,800000,1009000000,102943515502.994
927,Sudan,2018.0,13000000,836000,1043000000,32333780383.2924
1310,Sub-Saharan Africa (excluding high income),2016.0,22749442505.7485,50877194.3830237,28500418419.092,1575080887302.15
1311,Sub-Saharan Africa (excluding high income),2017.0,28230462732.7343,52496629.8574719,32478410641.1158,1704412183051.23
1312,Sub-Saharan Africa (excluding high income),2018.0,34389991449.2673,56247033.3736039,34873646197.8402,1772634125817.16
1313,Sub-Saharan Africa (excluding high income),2019.0,37965612630.2,55555231.2954125,34263192235.3189,1821727380112.95
1315,Sub-Saharan Africa (IDA & IBRD countries),2016.0,22844780213.6159,51223036.3828596,29035443371.1273,1576539841411.97
1316,Sub-Saharan Africa (IDA & IBRD countries),2017.0,28337369623.2333,52899581.2058794,33098286015.6402,1705941956337.72
1317,Sub-Saharan Africa (IDA & IBRD countries),2018.0,34491411433.4395,56673405.0653589,35520914706.5393,1774221939062.45
