Country Name,Country Code,Time,Time Code,"International tourism, expenditures (current US$) [ST.INT.XPND.CD]","International tourism, number of arrivals [ST.INT.ARVL]","International tourism, receipts (current US$) [ST.INT.RCPT.CD]",GDP (current US$) [NY.GDP.MKTP.CD]
Afghanistan,AFG,2016,YR2016,89000000,..,62000000,18019554403.4503
Afghanistan,AFG,2017,YR2017,130000000,..,16000000,18896353155.8839
Afghanistan,AFG,2018,YR2018,226000000,..,50000000,18418860354.4238
Afghanistan,AFG,2019,YR2019,168000000,..,85000000,18904502222.2108
Afghanistan,AFG,2020,YR2020,49000000,..,75000000,20143451705.7548
Albania,ALB,2016,YR2016,1338000000,4736000,1821000000,11861199830.8396
Albania,ALB,2017,YR2017,1473000000,5118000,2050000000,13019726211.7369
Albania,ALB,2018,YR2018,1750000000,5927000,2306000000,15156424061.9815
Albania,ALB,2019,YR2019,1852000000,6406000,2458000000,15401826080.5183
Albania,ALB,2020,YR2020,805000000,2658000,1243000000,15162734205.2462
Algeria,DZA,2016,YR2016,556000000,2039000,246000000,160034212613.438
Algeria,DZA,2017,YR2017,632000000,2451000,171000000,170096989042.831
Algeria,DZA,2018,YR2018,542000000,2657000,196500000,174910891124.491
Algeria,DZA,2019,YR2019,670000000,2371000,140000000,171760290068.157
Algeria,DZA,2020,YR2020,272000000,591000,50000000,145743722826.258
American Samoa,ASM,2016,YR2016,..,20100.0003814697,22000000,671000000
American Samoa,ASM,2017,YR2017,..,20000,22000000,612000000
American Samoa,ASM,2018,YR2018,..,20200.0007629395,..,639000000
American Samoa,ASM,2019,YR2019,..,19200.0007629395,..,647000000
American Samoa,ASM,2020,YR2020,..,899.999976158142,..,716000000
Andorra,AND,2016,YR2016,..,8025000,..,2896610479.86779
Andorra,AND,2017,YR2017,..,8152000,..,3000162081.22356
Andorra,AND,2018,YR2018,..,8328000,..,3218419896.93327
Andorra,AND,2019,YR2019,187000000,8235000,1910000000,3155149347.92151
Andorra,AND,2020,YR2020,..,5207000,..,2891001149.40074
Angola,AGO,2016,YR2016,823000000,397000,628000000,49840491178.1518
Angola,AGO,2017,YR2017,1216000000,261000,884000000,68972769395.6274
Angola,AGO,2018,YR2018,762000000,218000,557000000,77792944471.9494
Angola,AGO,2019,YR2019,717000000,218000,395000000,69309110145.7687
Angola,AGO,2020,YR2020,691000000,..,19000000,50241368243.6314
Antigua and Barbuda,ATG,2016,YR2016,101000000,874000,844000000,1436585185.18519
Antigua and Barbuda,ATG,2017,YR2017,106000000,1040000,820000000,1467955555.55556
Antigua and Barbuda,ATG,2018,YR2018,111000000,1064000,854000000,1604770370.37037
Antigua and Barbuda,ATG,2019,YR2019,119000000,1035000,992000000,1675403703.7037
Antigua and Barbuda,ATG,2020,YR2020,35000000,384500,416000000,1416348148.14815
Argentina,ARG,2016,YR2016,12273000000,6668000,5466000000,557532317363.451
Argentina,ARG,2017,YR2017,14180000000,6711000,5830000000,643628396190.388
Argentina,ARG,2018,YR2018,13084000000,6942000,5999000000,524819898586.906
Argentina,ARG,2019,YR2019,9845000000,7399000,5654000000,447754686715.081
Argentina,ARG,2020,YR2020,2746000000,..,1702000000,385540406815.599
Armenia,ARM,2016,YR2016,1033000000,1260000,1037000000,10546136240.3952
Armenia,ARM,2017,YR2017,1218000000,1495000,1224000000,11527458712.6187
Armenia,ARM,2018,YR2018,1335000000,1652000,1358000000,12457940705.3088
Armenia,ARM,2019,YR2019,1543000000,1894000,1553000000,13619290545.8131
Armenia,ARM,2020,YR2020,330000000,375000,303000000,12641698593.7908
Aruba,ABW,2016,YR2016,319000000,1758000,1757000000,2983798882.68156
Aruba,ABW,2017,YR2017,349000000,1863000,1855000000,3092178770.94972
Aruba,ABW,2018,YR2018,394000000,1897000,2035000000,3276187709.49721
Aruba,ABW,2019,YR2019,399000000,1951000,2109000000,3395793854.7486
Aruba,ABW,2020,YR2020,310000000,..,1077000000,2610038938.54749
Australia,AUS,2016,YR2016,35718000000,8269000,39059000000,1206562910556.58
Australia,AUS,2017,YR2017,39710000000,8815000,43975000000,1326467487376.42
Australia,AUS,2018,YR2018,42439000000,9246000,47327000000,1428266513154.48
Australia,AUS,2019,YR2019,41345000000,9466000,47953000000,1392218527563.26
Australia,AUS,2020,YR2020,7654000000,1828000,26234000000,1326944627876.87
Austria,AUT,2016,YR2016,11634000000,28121000,20965000000,395837353031.51
Austria,AUT,2017,YR2017,12878000000,29460000,22424000000,417261151844.981
Austria,AUT,2018,YR2018,14109000000,30816000,25413000000,454991174096.094
Austria,AUT,2019,YR2019,13922000000,31884000,25924000000,444621176100.54
Austria,AUT,2020,YR2020,5551000000,15091000,15362000000,435225238000.43
Azerbaijan,AZE,2016,YR2016,2593000000,2249000,2855000000,37867007022.7844
Azerbaijan,AZE,2017,YR2017,2803000000,2697000,3214000000,40866632047.8414
Azerbaijan,AZE,2018,YR2018,2453000000,2850000,2830000000,47112479289.4186
Azerbaijan,AZE,2019,YR2019,1839000000,3170000,2004099975.58594,48174235294.1176
Azerbaijan,AZE,2020,YR2020,439000000,796000,340000000,42693000000
"Bahamas, The",BHS,2016,YR2016,440000000,6265000,3091000000,11750800000
"Bahamas, The",BHS,2017,YR2017,554000000,6136000,2951000000,12253500000
"Bahamas, The",BHS,2018,YR2018,519000000,6622000,3756000000,12653600000
"Bahamas, The",BHS,2019,YR2019,514000000,7250000,4150000000,13058700000
"Bahamas, The",BHS,2020,YR2020,166000000,1794500,1007000000,9754600000
Bahrain,BHR,2016,YR2016,3267000000,10158000,4021000000,32234973404.2553
Bahrain,BHR,2017,YR2017,3178000000,11374000,4380000000,35473776595.7447
Bahrain,BHR,2018,YR2018,2522000000,12045000,3834000000,37802005319.1489
Bahrain,BHR,2019,YR2019,2637000000,11061000,3860000000,38653318085.1064
Bahrain,BHR,2020,YR2020,..,1909000,724000000,34621807712.766
Bangladesh,BGD,2016,YR2016,843000000,182000,214300003.051758,265236389198.948
Bangladesh,BGD,2017,YR2017,1127000000,237000,348000000,293754769935.148
Bangladesh,BGD,2018,YR2018,1207000000,267000,357000000,321379163135.647
Bangladesh,BGD,2019,YR2019,1389000000,323000,391000000,351238397263.802
Bangladesh,BGD,2020,YR2020,659000000,..,217899993.896484,373902196399.317
Barbados,BRB,2016,YR2016,99000000,1227000,1071000000,4832811750
Barbados,BRB,2017,YR2017,..,1345000,..,4981588900
Barbados,BRB,2018,YR2018,..,1356000,..,5097283200
Barbados,BRB,2019,YR2019,..,966000,..,5324250000
Barbados,BRB,2020,YR2020,..,..,..,4671800000
Belarus,BLR,2016,YR2016,891000000,10935000,1019000000,47723549319.0842
Belarus,BLR,2017,YR2017,1082000000,11060000,1124500000,54725311690.0478
Belarus,BLR,2018,YR2018,1170000000,11502000,1221000000,60031163987.191
Belarus,BLR,2019,YR2019,1224500000,11832000,1290000000,64410112583.362
Belarus,BLR,2020,YR2020,477000000,3598000,542000000,61371755326.2351
Belgium,BEL,2016,YR2016,16522000000,7481000,8784000000,476062757356.94
Belgium,BEL,2017,YR2017,17835000000,8385000,9636000000,502764720556.358
Belgium,BEL,2018,YR2018,20789000000,9119000,10319000000,543299066998.892
Belgium,BEL,2019,YR2019,20998000000,9343000,10581000000,535865692402.342
Belgium,BEL,2020,YR2020,13928000000,2584000,7447000000,525213067068.319
Belize,BLZ,2016,YR2016,55000000,1391000,..,2258500000
Belize,BLZ,2017,YR2017,53000000,1441000,..,2286000000
Belize,BLZ,2018,YR2018,50000000,1697000,..,2315000000
Belize,BLZ,2019,YR2019,45400001.5258789,1674000,..,2416500000
Belize,BLZ,2020,YR2020,22040000.9155273,487000,..,2080000000
Benin,BEN,2016,YR2016,87000000,292000,129000000,11821065852.127
Benin,BEN,2017,YR2017,148000000,307000,160000000,12701655845.9622
Benin,BEN,2018,YR2018,76000000,322000,175000000,14262408079.7005
Benin,BEN,2019,YR2019,130000000,337000,240860000.610352,14391686309.0337
Benin,BEN,2020,YR2020,..,..,..,15651545208.8771
Bermuda,BMU,2016,YR2016,373000000,642000,440000000,6899911000
Bermuda,BMU,2017,YR2017,369000000,688000,513000000,7142316000
Bermuda,BMU,2018,YR2018,334000000,766000,583000000,7225977000
Bermuda,BMU,2019,YR2019,342000000,805000,601000000,7423465000
Bermuda,BMU,2020,YR2020,212000000,51400.0015258789,94000000,6887147000
Bhutan,BTN,2016,YR2016,52000000,210000,139000000,2158971717.50418
Bhutan,BTN,2017,YR2017,63000000,255000,153000000,2450366107.88229
Bhutan,BTN,2018,YR2018,79000000,274000,121000000,2446867582.27133
Bhutan,BTN,2019,YR2019,67000000,316000,120000000,2535655609.45889
Bhutan,BTN,2020,YR2020,50000000,29799.9992370605,84000000,2325185520.59339
Bolivia,BOL,2016,YR2016,960000000,961000,827000000,33941126193.9219
Bolivia,BOL,2017,YR2017,997000000,1109000,928000000,37508642170.767
Bolivia,BOL,2018,YR2018,1009000000,1142000,948000000,40287647930.5355
Bolivia,BOL,2019,YR2019,1111000000,1239000,977000000,40895322850.9407
Bolivia,BOL,2020,YR2020,325000000,323299.987792969,243000000,36629843806.0781
Bosnia and Herzegovina,BIH,2016,YR2016,290000000,778000,875000000,17116926092.3905
Bosnia and Herzegovina,BIH,2017,YR2017,346000000,923000,984000000,18326376394.0796
Bosnia and Herzegovina,BIH,2018,YR2018,378000000,1053000,1147000000,20484048415.5019
Bosnia and Herzegovina,BIH,2019,YR2019,393000000,1198000,1225000000,20482603346.4473
Bosnia and Herzegovina,BIH,2020,YR2020,163000000,197000,438000000,20226030731.0131
Botswana,BWA,2016,YR2016,237100006.103516,1712000,505000000,15082636722.856
Botswana,BWA,2017,YR2017,253300003.051758,1775000,542010009.765625,16105156375.5848
Botswana,BWA,2018,YR2018,278299987.792969,1830000,584200012.207031,17031943186.1353
Botswana,BWA,2019,YR2019,294700012.207031,..,712400024.414063,16725908661.9419
Botswana,BWA,2020,YR2020,91800003.0517578,..,217000000,14960291540.5283
Brazil,BRA,2016,YR2016,17068000000,6547000,6613000000,1795693265824.27
Brazil,BRA,2017,YR2017,22991000000,6589000,6175000000,2063514688761.67
Brazil,BRA,2018,YR2018,22229000000,6621000,6324000000,1916933708404.16
Brazil,BRA,2019,YR2019,21178000000,6353000,6127000000,1873288159000.64
Brazil,BRA,2020,YR2020,6490000000,..,3099000000,1476107292036.59
British Virgin Islands,VGB,2016,YR2016,..,408000,..,..
British Virgin Islands,VGB,2017,YR2017,..,335000,..,..
British Virgin Islands,VGB,2018,YR2018,..,192000,..,..
British Virgin Islands,VGB,2019,YR2019,..,302399.993896484,..,..
British Virgin Islands,VGB,2020,YR2020,..,83000,..,..
Brunei Darussalam,BRN,2016,YR2016,499000000,4257000,144000000,11400467372.4943
Brunei Darussalam,BRN,2017,YR2017,504000000,4316000,177000000,12128182463.596
Brunei Darussalam,BRN,2018,YR2018,585000000,4521000,190000000,13567164444.9707
Brunei Darussalam,BRN,2019,YR2019,..,4449000,..,13469240162.5496
Brunei Darussalam,BRN,2020,YR2020,..,1071000,..,12005795914.7306
Bulgaria,BGR,2016,YR2016,1636000000,10604000,4148000000,53987487124.3421
Bulgaria,BGR,2017,YR2017,2047000000,11596000,4663000000,59343060705.828
Bulgaria,BGR,2018,YR2018,2247000000,12368000,5061000000,66399602077.1693
Bulgaria,BGR,2019,YR2019,2196000000,12552000,4832000000,68911930627.8977
Bulgaria,BGR,2020,YR2020,1263000000,4973000,1792000000,70404359049.232
Burkina Faso,BFA,2016,YR2016,176000000,152000,172000000,12833363043.9719
Burkina Faso,BFA,2017,YR2017,182000000,143000,172000000,14106955625.3571
Burkina Faso,BFA,2018,YR2018,191000000,144000,179000000,15890066209.8959
Burkina Faso,BFA,2019,YR2019,185199996.948242,143000,173000000,16178161666.1334
Burkina Faso,BFA,2020,YR2020,..,67000,..,17933606212.6294
Burundi,BDI,2016,YR2016,..,187000,..,2644487777.23693
Burundi,BDI,2017,YR2017,..,299000,..,2723586962.18686
Burundi,BDI,2018,YR2018,..,..,..,2667182198.97925
Burundi,BDI,2019,YR2019,..,..,..,2576518879.39881
Burundi,BDI,2020,YR2020,..,..,..,2649680261.01097
Cabo Verde,CPV,2016,YR2016,79000000,598000,397000000,1849789992.74328
Cabo Verde,CPV,2017,YR2017,100000000,668000,451000000,1996741544.61549
Cabo Verde,CPV,2018,YR2018,112000000,710000,520000000,2205099509.15921
Cabo Verde,CPV,2019,YR2019,107000000,758000,567000000,2266752197.42617
Cabo Verde,CPV,2020,YR2020,59000000,180000,169000000,1878277311.2253
Cambodia,KHM,2016,YR2016,762000000,5012000,3523000000,20016747858.3122
