Time,Time Code,Country Name,Country Code,"International tourism, expenditures (current US$) [ST.INT.XPND.CD]","International tourism, receipts (current US$) [ST.INT.RCPT.CD]","International tourism, number of arrivals [ST.INT.ARVL]","International tourism, number of departures [ST.INT.DPRT]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]"
2016,YR2016,Afghanistan,AFG,89000000,62000000,..,..,18019554403.4503,34636207
2016,YR2016,Albania,ALB,1338000000,1821000000,4736000,4852000,11861199830.8396,2876101
2016,YR2016,Algeria,DZA,556000000,246000000,2039000,4530000,160034212613.438,40339329
2016,YR2016,American Samoa,ASM,..,22000000,20100.0003814697,..,671000000,50448
2016,YR2016,Andorra,AND,..,..,8025000,..,2896610479.86779,72540
2016,YR2016,Angola,AGO,823000000,628000000,397000,..,49840491178.1518,29154746
2016,YR2016,Antigua and Barbuda,ATG,101000000,844000000,874000,..,1436585185.18519,90564
2016,YR2016,Argentina,ARG,12273000000,5466000000,6668000,18645000,557532317363.451,43590368
2016,YR2016,Armenia,ARM,1033000000,1037000000,1260000,1263000,10546136240.3952,2865835
2016,YR2016,Aruba,ABW,319000000,1757000000,1758000,..,2983798882.68156,104874
2016,YR2016,Australia,AUS,35718000000,39059000000,8269000,10390000,1206562910556.58,24190907
2016,YR2016,Austria,AUT,11634000000,20965000000,28121000,11534000,395837353031.51,8736668
2016,YR2016,Azerbaijan,AZE,2593000000,2855000000,2249000,4282000,37867007022.7844,9757812
2016,YR2016,"Bahamas, The",BHS,440000000,3091000000,6265000,..,11750800000,395976
2016,YR2016,Bahrain,BHR,3267000000,4021000000,10158000,3293000,32234973404.2553,1409661
2016,YR2016,Bangladesh,BGD,843000000,214300003.051758,182000,..,265236389198.948,159784568
2016,YR2016,Barbados,BRB,99000000,1071000000,1227000,..,4832811750,278649
2016,YR2016,Belarus,BLR,891000000,1019000000,10935000,8340000,47723549319.0842,9469379
2016,YR2016,Belgium,BEL,16522000000,8784000000,7481000,13372000,476062757356.94,11331422
2016,YR2016,Belize,BLZ,55000000,..,1391000,..,2258500000,367313
2016,YR2016,Benin,BEN,87000000,129000000,292000,..,11821065852.127,11260085
2016,YR2016,Bermuda,BMU,373000000,440000000,642000,..,6899911000,64554
2016,YR2016,Bhutan,BTN,52000000,139000000,210000,..,2158971717.50418,749761
2016,YR2016,Bolivia,BOL,960000000,827000000,961000,940000,33941126193.9219,11263015
2016,YR2016,Bosnia and Herzegovina,BIH,290000000,875000000,778000,..,17116926092.3905,3480986
2016,YR2016,Botswana,BWA,237100006.103516,505000000,1712000,..,15082636722.856,2352416
2016,YR2016,Brazil,BRA,17068000000,6613000000,6547000,8872000,1795693265824.27,206859578
2016,YR2016,British Virgin Islands,VGB,..,..,408000,..,..,29739
2016,YR2016,Brunei Darussalam,BRN,499000000,144000000,4257000,..,11400467372.4943,425994
2016,YR2016,Bulgaria,BGR,1636000000,4148000000,10604000,5392000,53987487124.3421,7127822
2016,YR2016,Burkina Faso,BFA,176000000,172000000,152000,..,12833363043.9719,19275498
2016,YR2016,Burundi,BDI,..,..,187000,..,2644487777.23693,10903327
2016,YR2016,Cabo Verde,CPV,79000000,397000000,598000,..,1849789992.74328,558394
