Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.911603419423,-2.35110067344623,-20.6999999939715,..
Afghanistan,AFG,"International tourism, number of arrivals",ST.INT.ARVL,..,..,..,..
Afghanistan,AFG,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Afghanistan,AFG,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,72000000,65000000,..,..
Afghanistan,AFG,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,129000000,30000000,..,..
Afghanistan,AFG,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,5.60775255799417,5.08024772390036,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37769499,38972230,40099462,41128771
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.08771199649604,-3.30208203862541,8.90852781831182,4.84423589539303
Albania,ALB,"International tourism, number of arrivals",ST.INT.ARVL,6406000,2658000,..,..
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,5922000,2907000,..,..
Albania,ALB,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,2329000000,1134000000,..,..
Albania,ALB,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,1770000000,763000000,..,..
Albania,ALB,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,50.9706230649523,35.9164177962174,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,2854191,2837849,2811666,2775634
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.999999999741789,-5.10000000018678,3.40000000034198,3.09999999986282
Algeria,DZA,"International tourism, number of arrivals",ST.INT.ARVL,2371000,591000,..,..
Algeria,DZA,"International tourism, number of departures",ST.INT.DPRT,5732000,1386000,..,..
Algeria,DZA,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,112000000,43000000,..,..
Algeria,DZA,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,638000000,234000000,..,..
Algeria,DZA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,0.363152035783373,0.200787778540167,..,..
Algeria,DZA,"Population, total",SP.POP.TOTL,42705368,43451666,44177969,44903225
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.487804878048777,5.06535947712419,-1.86625194401245,..
American Samoa,ASM,"International tourism, number of arrivals",ST.INT.ARVL,19200.0007629395,899.999976158142,..,..
American Samoa,ASM,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
American Samoa,ASM,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,..,..,..,..
American Samoa,ASM,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,..,..,..,..
American Samoa,ASM,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,47321,46189,45035,44273
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.01554763848308,-11.1839399355384,8.28719978108489,8.80957934841771
Andorra,AND,"International tourism, number of arrivals",ST.INT.ARVL,8235000,5207000,..,..
Andorra,AND,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Andorra,AND,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,1897000000,..,..,..
Andorra,AND,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,180000000,..,..,..
Andorra,AND,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,81.8022160839288,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,76343,77700,79034,79824
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.702272957616017,-5.63821471714934,1.19921052145153,3.04540300954928
Angola,AGO,"International tourism, number of arrivals",ST.INT.ARVL,218000,..,..,..
Angola,AGO,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Angola,AGO,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,384000000,16000000,..,..
Angola,AGO,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,469000000,615000000,..,..
Angola,AGO,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,1.12279248372064,0.0904570431814326,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,32353588,33428486,34503774,35588987
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.34405983052592,-17.5021850332755,6.55489981833459,8.45873332502183
Antigua and Barbuda,ATG,"International tourism, number of arrivals",ST.INT.ARVL,1035000,384500,..,..
Antigua and Barbuda,ATG,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Antigua and Barbuda,ATG,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,909000000,386000000,..,..
Antigua and Barbuda,ATG,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,92000000,27000000,..,..
Antigua and Barbuda,ATG,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,83.0756539587642,70.3563021671975,..,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92117,92664,93219,93763
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.00086100285785,-9.94323513446069,10.3982494646904,5.2430444992488
Argentina,ARG,"International tourism, number of arrivals",ST.INT.ARVL,7399000,..,..,..
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,15352000,..,..,..
Argentina,ARG,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,5241000000,1616000000,..,..
Argentina,ARG,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,7850000000,2346000000,..,..
Argentina,ARG,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,7.07063914022033,2.64157482886843,..,..
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712,45376763,45808747,46234830
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.59999999853918,-7.19999999920631,5.69999999864019,12.6
Armenia,ARM,"International tourism, number of arrivals",ST.INT.ARVL,1894000,375000,..,..
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,1868000,346000,..,..
Armenia,ARM,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,1528000000,293000000,..,..
Armenia,ARM,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,1489000000,307000000,..,..
Armenia,ARM,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,26.8016214915599,7.93569633517888,..,..
Armenia,ARM,"Population, total",SP.POP.TOTL,2820602,2805608,2790974,2780469
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.635029787882658,-18.5890992393899,17.172508597974,..
Aruba,ABW,"International tourism, number of arrivals",ST.INT.ARVL,1951000,..,..,..
Aruba,ABW,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Aruba,ABW,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,2104000000,1076000000,..,..
Aruba,ABW,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,389000000,306000000,..,..
Aruba,ABW,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,82.3284075874021,74.5867774293884,..,..
Aruba,ABW,"Population, total",SP.POP.TOTL,106442,106585,106537,106445
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.1713962244835,-0.0508853360838941,2.23621243944461,3.61758857230203
Australia,AUS,"International tourism, number of arrivals",ST.INT.ARVL,9466000,1828000,..,..
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,11624000,2832000,..,..
Australia,AUS,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,45729000000,25667000000,..,..
Australia,AUS,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,35968000000,6488000000,..,..
Australia,AUS,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,14.013765727157,8.7239394723413,..,..
Australia,AUS,"Population, total",SP.POP.TOTL,25340217,25655289,25688079,25978935
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.51738858303159,-6.45396846689127,4.55685091308877,4.99694240688582
Austria,AUT,"International tourism, number of arrivals",ST.INT.ARVL,31884000,15091000,..,..
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,11902000,3964000,..,..
Austria,AUT,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,22983000000,13881000000,..,..
Austria,AUT,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,11589000000,4903000000,..,..
Austria,AUT,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,10.4642757891777,6.83564518424514,..,..
Austria,AUT,"Population, total",SP.POP.TOTL,8879920,8916864,8955797,9042528
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.50000006743734,-4.30000010230737,5.61645102853028,4.61652296344128
Azerbaijan,AZE,"International tourism, number of arrivals",ST.INT.ARVL,3170000,796000,..,..
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,5568000,1165000,..,..
Azerbaijan,AZE,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,1791500000,304000000,..,..
Azerbaijan,AZE,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,1702000000,412000000,..,..
Azerbaijan,AZE,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,8.48126077021855,2.2355547492947,..,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283,10093121,10137750,10175016
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.7439779983562,-23.5081763069431,16.9846652843355,14.3689600281884
"Bahamas, The",BHS,"International tourism, number of arrivals",ST.INT.ARVL,7250000,1794500,..,..
"Bahamas, The",BHS,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
"Bahamas, The",BHS,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,4125000000,1002000000,..,..
"Bahamas, The",BHS,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,335000000,110000000,..,..
"Bahamas, The",BHS,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,80.3665977076924,61.0174111334939,..,..
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,404557,406471,407906,409984
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.1669646688237,-4.64463735878491,2.66970871448231,4.86085827172992
Bahrain,BHR,"International tourism, number of arrivals",ST.INT.ARVL,11061000,1909000,..,..
Bahrain,BHR,"International tourism, number of departures",ST.INT.DPRT,2950000,..,..,..
Bahrain,BHR,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,3681000000,673000000,..,..
Bahrain,BHR,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,1720000000,..,..,..
Bahrain,BHR,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,..,..,..,..
Bahrain,BHR,"Population, total",SP.POP.TOTL,1494188,1477469,1463265,1472233
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.8819067286135,3.44802562762527,6.93867912442445,7.09982877575158
Bangladesh,BGD,"International tourism, number of arrivals",ST.INT.ARVL,323000,..,..,..
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Bangladesh,BGD,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,388000000,217000000,..,..
Bangladesh,BGD,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,920000000,394000000,..,..
Bangladesh,BGD,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,0.869641802916597,0.566327447584205,..,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,165516222,167420951,169356251,171186372
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.131147253497488,-13.3110215258234,-0.189272866293138,9.99899532827648
Barbados,BRB,"International tourism, number of arrivals",ST.INT.ARVL,966000,..,..,..
Barbados,BRB,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Barbados,BRB,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,..,..,..,..
Barbados,BRB,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,..,..,..,..
Barbados,BRB,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,..,..,..,..
Barbados,BRB,"Population, total",SP.POP.TOTL,280180,280693,281200,281635
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.44620667102681,-0.672904125264921,2.43886608142535,-4.6974497069539
Belarus,BLR,"International tourism, number of arrivals",ST.INT.ARVL,11832000,3598000,..,..
Belarus,BLR,"International tourism, number of departures",ST.INT.DPRT,9221000,2810000,..,..
Belarus,BLR,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,901000000,355000000,..,..
Belarus,BLR,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,1122500000,445000000,..,..
Belarus,BLR,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,3.0732652132584,1.45764753974913,..,..
Belarus,BLR,"Population, total",SP.POP.TOTL,9419758,9379952,9302585,9208701
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.26156832127384,-5.36258592006438,6.28593139332018,3.24783720657268
Belgium,BEL,"International tourism, number of arrivals",ST.INT.ARVL,9343000,2584000,..,..
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,14191000,5850000,..,..
Belgium,BEL,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,8900000000,6603000000,..,..
Belgium,BEL,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,18739000000,13035000000,..,..
Belgium,BEL,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2.39624492252944,1.78490232966467,..,..
Belgium,BEL,"Population, total",SP.POP.TOTL,11488980,11538604,11592952,11669446
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.50204638472033,-13.4029590948651,15.2211055276382,12.128745257098
Belize,BLZ,"International tourism, number of arrivals",ST.INT.ARVL,1674000,487000,..,..
Belize,BLZ,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Belize,BLZ,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,527000000,247000000,..,..
Belize,BLZ,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,43400001.5258789,20549999.2370605,..,..
Belize,BLZ,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,..,..,..,..
Belize,BLZ,"Population, total",SP.POP.TOTL,389095,394921,400031,405272
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.86568733550151,3.84879240030133,7.1554516457574,6.25324491401346
Benin,BEN,"International tourism, number of arrivals",ST.INT.ARVL,337000,..,..,..
Benin,BEN,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Benin,BEN,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,240000000,..,..,..
Benin,BEN,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,94000000,..,..,..
Benin,BEN,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,6.71867329850776,..,..,..
Benin,BEN,"Population, total",SP.POP.TOTL,12290444,12643123,12996895,13352864
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.306266735233933,-6.83795519136594,3.01381643857819,2.92711294908246
Bermuda,BMU,"International tourism, number of arrivals",ST.INT.ARVL,805000,51400.0015258789,..,..
Bermuda,BMU,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Bermuda,BMU,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,601000000,94000000,..,..
Bermuda,BMU,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,264000000,191000000,..,..
Bermuda,BMU,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,37.4442084186179,9.14979233689065,..,..
Bermuda,BMU,"Population, total",SP.POP.TOTL,63911,63893,63764,63532
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.75516999309463,-10.0096993291629,4.08761887839313,..
Bhutan,BTN,"International tourism, number of arrivals",ST.INT.ARVL,316000,29799.9992370605,..,..
Bhutan,BTN,"International tourism, number of departures",ST.INT.DPRT,72000,..,..,..
Bhutan,BTN,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,120000000,84000000,..,..
Bhutan,BTN,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,67000000,50000000,..,..
Bhutan,BTN,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,15.4335056583194,10.6777751698148,..,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,767459,772506,777486,782455
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.21670563961031,-8.7378843576993,6.10580420443311,3.07005464392225
Bolivia,BOL,"International tourism, number of arrivals",ST.INT.ARVL,1239000,323299.987792969,..,..
Bolivia,BOL,"International tourism, number of departures",ST.INT.DPRT,1160000,432000,..,..
Bolivia,BOL,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,837000000,191000000,..,..
Bolivia,BOL,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,937000000,274000000,..,..
Bolivia,BOL,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,9.5121215909095,3.26491166793145,..,..
Bolivia,BOL,"Population, total",SP.POP.TOTL,11777315,11936162,12079472,12224110
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.88734334414875,-3.01509514759861,7.39165262555947,3.89680774245646
Bosnia and Herzegovina,BIH,"International tourism, number of arrivals",ST.INT.ARVL,1198000,197000,..,..
Bosnia and Herzegovina,BIH,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Bosnia and Herzegovina,BIH,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,1173000000,426000000,..,..
Bosnia and Herzegovina,BIH,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,285000000,112000000,..,..
Bosnia and Herzegovina,BIH,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,14.9415126713494,6.31456628378305,..,..
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3360711,3318407,3270943,3233526
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.03255655553514,-8.7294514980577,11.8703583147,5.78234922056089
Botswana,BWA,"International tourism, number of arrivals",ST.INT.ARVL,..,..,..,..
Botswana,BWA,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Botswana,BWA,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,705000000,211000000,..,..
Botswana,BWA,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,291000000,89000000,..,..
Botswana,BWA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,11.4373575514438,4.51156760099406,..,..
Botswana,BWA,"Population, total",SP.POP.TOTL,2499702,2546402,2588423,2630296
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.22077782360842,-3.2767587964736,4.98884970066018,2.90053061522693
Brazil,BRA,"International tourism, number of arrivals",ST.INT.ARVL,6353000,..,..,..
Brazil,BRA,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..
Brazil,BRA,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,5995000000,3044000000,..,..
Brazil,BRA,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,17593000000,5394000000,..,..
Brazil,BRA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,2.36716614866301,1.30089316520117,..,..
