,Country Name,Year,GDP per Capita
949,Afghanistan,2017,517
948,Afghanistan,2018,486
947,Afghanistan,2019,494
946,Afghanistan,2020,517
599,Albania,2017,4531
597,Albania,2018,5288
595,Albania,2019,5396
593,Albania,2020,5332
389,Algeria,2017,4110
388,Algeria,2018,4142
387,Algeria,2019,3990
386,Algeria,2020,3307
918,American Samoa,2017,11004
916,American Samoa,2018,11522
914,American Samoa,2019,11715
912,American Samoa,2020,12845
194,Andorra,2017,38965
193,Andorra,2018,41793
192,Andorra,2019,40898
191,Andorra,2020,37417
464,Angola,2017,2313
463,Angola,2018,2525
462,Angola,2019,2178
461,Angola,2020,1631
384,Antigua And Barbuda,2017,15384
383,Antigua And Barbuda,2018,16680
382,Antigua And Barbuda,2019,17377
381,Antigua And Barbuda,2020,13993
199,Argentina,2017,14613
198,Argentina,2018,11795
197,Argentina,2019,10076
196,Argentina,2020,8586
679,Armenia,2017,3915
678,Armenia,2018,4221
677,Armenia,2019,4605
676,Armenia,2020,4266
929,Aruba,2017,29348
928,Aruba,2018,30254
927,Aruba,2019,31136
926,Aruba,2020,23384
114,Australia,2017,53934
112,Australia,2018,57181
110,Australia,2019,54875
108,Australia,2020,51680
139,Austria,2017,47429
137,Austria,2018,51487
135,Austria,2019,50114
133,Austria,2020,48589
539,Azerbaijan,2017,4147
538,Azerbaijan,2018,4740
537,Azerbaijan,2019,4806
536,Azerbaijan,2020,4230
244,Bahamas,2017,32371
243,Bahamas,2018,33077
242,Bahamas,2019,33872
241,Bahamas,2020,24665
299,Bahrain,2017,23743
297,Bahrain,2018,24086
295,Bahrain,2019,23552
293,Bahrain,2020,20407
229,Bangladesh,2017,1840
228,Bangladesh,2018,1991
227,Bangladesh,2019,2154
226,Bangladesh,2020,2270
349,Barbados,2017,17404
348,Barbados,2018,17783
347,Barbados,2019,18480
346,Barbados,2020,16319
483,Belarus,2017,5786
481,Belarus,2018,6360
479,Belarus,2019,6838
477,Belarus,2020,6555
149,Belgium,2017,44198
148,Belgium,2018,47549
147,Belgium,2019,46599
146,Belgium,2020,45189
709,Belize,2017,4910
707,Belize,2018,4927
705,Belize,2019,4983
703,Belize,2020,3988
754,Benin,2017,1137
753,Benin,2018,1242
752,Benin,2019,1220
751,Benin,2020,1291
19,Bermuda,2017,111821
17,Bermuda,2018,113051
15,Bermuda,2019,116153
13,Bermuda,2020,107706
908,Bhutan,2017,3287
906,Bhutan,2018,3243
904,Bhutan,2019,3323
902,Bhutan,2020,3001
589,Bolivia,2017,3351
588,Bolivia,2018,3549
587,Bolivia,2019,3552
586,Bolivia,2020,3138
574,Bosnia,2017,5394
572,Bosnia,2018,6070
570,Bosnia,2019,6120
568,Bosnia,2020,6082
549,Botswana,2017,7296
547,Botswana,2018,7504
